iter	RMSE
0	383.0849552
1	364.5381494
2	347.5262381
3	332.1030229
4	317.8794663
5	305.0805988
6	293.2023995
7	282.4620821
8	272.5245359
9	263.5966727
10	255.6368404
11	248.3847597
12	241.7260521
13	235.4667394
14	230.0292602
15	224.9092354
16	220.3243751
17	216.1294474
18	212.3775335
19	208.8511286
20	205.824105
21	202.7257617
22	200.0879948
23	197.5228465
24	195.216449
25	193.2998757
26	191.3864088
27	189.7264553
28	187.9502484
29	186.3356254
30	184.9750571
31	183.7422985
32	182.4136265
33	181.343437
34	180.1483797
35	179.0599744
36	178.2163777
37	177.3186976
38	176.5011647
39	175.4304189
40	174.7119008
41	174.0976748
42	173.4875838
43	172.7380448
44	171.9368168
45	171.3863752
46	170.8537217
47	170.2319678
48	169.5122543
49	169.1050635
50	168.501061
51	168.0648895
52	167.7256115
53	167.2820445
54	166.7491942
55	166.3129442
56	165.8954526
57	165.6330513
58	165.1418553
59	164.7691837
60	164.4625108
61	164.0597337
62	163.7839464
63	163.4247574
64	163.1274642
65	162.7899671
66	162.5260509
67	162.2923652
68	161.7017102
69	161.4721731
70	161.3167614
71	160.9546228
72	160.6534724
73	160.4957027
74	160.311317
75	160.0402016
76	159.7661555
77	159.5989468
78	159.4461533
79	159.3029863
80	159.1092756
81	158.9419712
82	158.8243333
83	158.5638645
84	158.3556529
85	158.2190703
86	157.9913432
87	157.7656156
88	157.6012009
89	157.3251827
90	156.9970859
91	156.8153971
92	156.6150114
93	156.4661484
94	156.3424817
95	156.2571462
96	156.0160621
97	155.92431
98	155.788559
99	155.6308271
100	155.4567347
101	155.0800733
102	154.8253862
103	154.6721172
104	154.4715148
105	154.2962341
106	154.1642702
107	154.0728603
108	153.9747348
109	153.7767892
110	153.6886206
111	153.5055106
112	153.3391452
113	153.1470594
114	153.0050631
115	152.9095078
116	152.7596722
117	152.6712116
118	152.5552657
119	152.3196663
120	152.1641188
121	151.7886085
122	151.6472721
123	151.5470046
124	151.4217793
125	151.2683339
126	151.1058666
127	150.9925229
128	150.9247205
129	150.7903316
130	150.5054962
131	150.3795356
132	150.2103826
133	150.0129792
134	149.8837915
135	149.7464305
136	149.6691597
137	149.5244125
138	149.4820922
139	149.4091435
140	149.2556341
141	149.0417453
142	148.9741561
143	148.8992764
144	148.8323458
145	148.7331494
146	148.6331824
147	148.4878255
148	148.2854646
149	147.9594682
150	147.774742
151	147.6291211
152	147.5235469
153	147.2249703
154	147.1305542
155	147.0051224
156	146.9148935
157	146.8412666
158	146.7242943
159	146.5892764
160	146.3852103
161	146.2802072
162	146.1464926
163	145.999669
164	145.6849972
165	145.6223472
166	145.5479765
167	145.4261475
168	145.2889469
169	145.1531866
170	145.0591867
171	144.9577243
172	144.8086906
173	144.7314183
174	144.6508416
175	144.473211
176	144.4106556
177	144.2799959
178	144.1691847
179	143.9797414
180	143.896302
181	143.6952174
182	143.5937818
183	143.4286099
184	143.2681099
185	143.2012976
186	143.1694573
187	143.0711959
188	142.9432906
189	142.8408699
190	142.765294
191	142.6983295
192	142.5722825
193	142.4922879
194	142.3025333
195	142.1652707
196	142.0955442
197	142.0189161
198	141.9534536
199	141.8932025
200	141.739285
201	141.5931029
202	141.4469697
203	141.3414308
204	141.2655774
205	141.2240001
206	141.1181033
207	141.0336143
208	140.9646079
209	140.8194452
210	140.7207821
211	140.6547615
212	140.5862851
213	140.5081399
214	140.3854052
215	140.2971551
216	140.2179979
217	140.1485263
218	140.0963586
219	139.99681
220	139.9161403
221	139.8226661
222	139.7160935
223	139.6746814
224	139.5284623
225	139.4729689
226	139.4060167
227	139.2556748
228	139.1935841
229	139.1211681
230	139.0137012
231	138.967481
232	138.906147
233	138.7861768
234	138.7153681
235	138.6471122
236	138.494428
237	138.4414465
238	138.3298722
239	138.2669285
240	138.2015268
241	138.0582592
242	137.9901005
243	137.9131321
244	137.8335173
245	137.7034677
246	137.6041299
247	137.5384945
248	137.4616575
249	137.3827603
250	137.333155
251	137.1887755
252	137.1146118
253	137.0826924
254	137.0135029
255	136.9726161
256	136.808876
257	136.743455
258	136.6982097
259	136.6284046
260	136.5162896
261	136.4690985
262	136.407291
263	136.3562016
264	136.3054157
265	136.2762838
266	136.226951
267	136.1295595
268	135.9881411
269	135.9536799
270	135.8726759
271	135.7271787
272	135.6666635
273	135.6046545
274	135.5091483
275	135.4505388
276	135.3775708
277	135.2514453
278	135.1540087
279	135.0346136
280	134.9512415
281	134.8681254
282	134.7394942
283	134.6221592
284	134.5250993
285	134.3583667
286	134.3098735
287	134.2649719
288	134.2002427
289	134.1606696
290	134.0585935
291	134.0018054
292	133.9749837
293	133.918598
294	133.8104293
295	133.7588372
296	133.6612875
297	133.6322996
298	133.4501473
299	133.3866956
300	133.3225558
301	133.2645918
302	133.2118152
303	133.1674081
304	133.0926244
305	133.0608563
306	132.9930266
307	132.950568
308	132.8939583
309	132.7903528
310	132.7485715
311	132.7010343
312	132.6763142
313	132.6048994
314	132.5117836
315	132.3938676
316	132.3545594
317	132.2874537
318	132.2552672
319	132.2232851
320	132.1673978
321	132.1152613
322	132.0387643
323	131.993832
324	131.9774281
325	131.9256463
326	131.8316653
327	131.765062
328	131.7019761
329	131.6382908
330	131.5964729
331	131.56041
332	131.4310316
333	131.3758938
334	131.281104
335	131.248668
336	131.1725531
337	131.1141423
338	131.0840814
339	131.0117871
340	130.9837844
341	130.8927547
342	130.8704879
343	130.8112736
344	130.7638766
345	130.7305911
346	130.7004574
347	130.6649473
348	130.6221987
349	130.5644569
350	130.4859759
351	130.4389244
352	130.3868805
353	130.3039197
354	130.2859092
355	130.2566784
356	130.1993055
357	130.1504772
358	130.1103127
359	130.0827516
360	130.0422694
361	129.9718529
362	129.932384
