iter	Passed	Remaining
0	148	62276
1	163	34242
2	180	25075
3	197	20549
4	213	17719
5	228	15786
6	244	14435
7	261	13473
8	278	12700
9	294	12070
10	311	11569
11	327	11139
12	344	10779
13	360	10444
14	376	10159
15	392	9918
16	409	9706
17	425	9500
18	440	9306
19	457	9142
20	472	8985
21	489	8847
22	504	8712
23	520	8587
24	538	8502
25	555	8414
26	572	8331
27	589	8248
28	606	8173
29	621	8080
30	637	7995
31	653	7918
32	669	7850
33	685	7785
34	701	7719
35	718	7659
36	734	7601
37	751	7551
38	766	7492
39	782	7436
40	799	7392
41	816	7344
42	831	7292
43	847	7242
44	863	7194
45	879	7150
46	895	7108
47	909	7048
48	925	7005
49	940	6957
50	956	6923
51	972	6881
52	988	6846
53	1004	6805
54	1020	6769
55	1036	6736
56	1053	6709
57	1068	6666
58	1083	6632
59	1102	6612
60	1118	6580
61	1133	6544
62	1150	6517
63	1165	6485
64	1180	6449
65	1196	6415
66	1210	6379
67	1228	6361
68	1244	6329
69	1259	6299
70	1275	6269
71	1291	6240
72	1307	6216
73	1323	6189
74	1338	6157
75	1354	6130
76	1368	6096
77	1383	6064
78	1398	6036
79	1414	6012
80	1430	5988
81	1445	5957
82	1460	5929
83	1475	5903
84	1491	5878
85	1505	5848
86	1522	5827
87	1540	5810
88	1559	5798
89	1575	5776
90	1591	5753
91	1607	5730
92	1624	5711
93	1640	5687
94	1658	5674
95	1675	5653
96	1692	5636
97	1708	5614
98	1727	5600
99	1743	5580
100	1769	5589
101	1788	5576
102	1804	5554
103	1819	5528
104	1837	5513
105	1853	5490
106	1870	5471
107	1887	5451
108	1903	5430
109	1918	5407
110	1932	5380
111	1947	5355
112	1963	5334
113	1979	5313
114	1994	5290
115	2009	5267
116	2025	5246
117	2042	5228
118	2057	5205
119	2072	5180
120	2087	5158
121	2104	5141
122	2122	5125
123	2138	5104
124	2155	5087
125	2171	5067
126	2187	5047
127	2203	5026
128	2217	5002
129	2234	4985
130	2249	4963
131	2266	4945
132	2283	4926
133	2298	4905
134	2314	4885
135	2329	4864
136	2343	4840
137	2358	4818
138	2372	4795
139	2387	4774
140	2405	4759
141	2422	4741
142	2440	4726
143	2456	4708
144	2471	4686
145	2486	4667
146	2505	4652
147	2526	4642
148	2547	4633
149	2572	4629
150	2590	4614
151	2609	4601
152	2625	4582
153	2642	4564
154	2659	4546
155	2676	4528
156	2692	4510
157	2708	4491
158	2725	4474
159	2742	4456
160	2760	4440
161	2775	4420
162	2792	4402
163	2810	4387
164	2829	4372
165	2844	4352
166	2860	4333
167	2878	4317
168	2893	4297
169	2910	4280
170	2929	4266
171	2946	4247
172	2962	4229
173	2979	4213
174	3000	4200
175	3016	4182
176	3033	4164
177	3050	4147
178	3065	4126
179	3083	4111
180	3098	4091
181	3114	4073
182	3132	4056
183	3150	4040
184	3169	4026
185	3186	4008
186	3201	3989
187	3219	3973
188	3235	3954
189	3251	3936
190	3273	3924
191	3291	3908
192	3307	3889
193	3323	3872
194	3343	3857
195	3360	3841
196	3376	3821
197	3392	3804
198	3408	3785
199	3424	3767
200	3441	3749
201	3459	3733
202	3476	3715
203	3492	3697
204	3508	3680
205	3527	3664
206	3546	3648
207	3565	3633
208	3584	3618
209	3604	3604
210	3622	3587
211	3639	3571
212	3655	3552
213	3675	3537
214	3694	3522
215	3710	3504
216	3727	3486
217	3743	3468
218	3761	3451
219	3778	3435
220	3796	3418
221	3814	3402
222	3831	3384
223	3846	3365
224	3862	3347
225	3877	3328
226	3899	3315
227	3916	3298
228	3932	3279
229	3948	3261
230	3965	3244
231	3981	3226
232	3999	3209
233	4015	3191
234	4032	3174
235	4049	3157
236	4065	3139
237	4080	3120
238	4096	3102
239	4111	3083
240	4129	3066
241	4143	3048
242	4159	3029
243	4176	3012
244	4192	2994
245	4210	2977
246	4228	2961
247	4244	2943
248	4259	2925
249	4277	2908
250	4293	2890
251	4322	2881
252	4343	2867
253	4358	2848
254	4378	2832
255	4394	2815
256	4411	2797
257	4428	2780
258	4444	2762
259	4461	2745
260	4478	2728
261	4497	2712
262	4520	2698
263	4541	2683
264	4561	2667
265	4578	2650
266	4594	2633
267	4613	2616
268	4630	2599
269	4648	2582
270	4665	2565
271	4691	2552
272	4707	2534
273	4724	2517
274	4741	2500
275	4757	2482
276	4772	2463
277	4789	2446
278	4806	2429
279	4823	2411
280	4838	2393
281	4856	2376
282	4873	2359
283	4890	2342
284	4908	2325
285	4931	2310
286	4950	2294
287	4969	2277
288	4989	2261
289	5011	2246
290	5032	2230
291	5053	2215
292	5070	2197
293	5087	2180
294	5106	2163
295	5123	2146
296	5141	2129
297	5158	2111
298	5177	2095
299	5193	2077
300	5209	2059
301	5224	2041
302	5239	2023
303	5255	2005
304	5272	1987
305	5287	1970
306	5303	1952
307	5320	1934
308	5335	1916
309	5352	1899
310	5369	1881
311	5386	1864
312	5401	1846
313	5416	1828
314	5433	1811
315	5448	1793
316	5467	1776
317	5482	1758
318	5498	1740
319	5514	1723
320	5531	1705
321	5547	1688
322	5565	1671
323	5580	1653
324	5594	1635
325	5611	1618
326	5630	1601
327	5645	1583
328	5662	1566
329	5679	1548
330	5696	1531
331	5713	1514
332	5730	1497
333	5746	1479
334	5763	1462
335	5779	1444
336	5794	1427
337	5810	1409
338	5824	1391
339	5840	1374
340	5855	1356
341	5870	1338
342	5885	1321
343	5903	1304
344	5922	1287
345	5938	1270
346	5955	1252
347	5973	1235
348	5990	1218
349	6008	1201
350	6026	1184
351	6041	1167
352	6057	1149
353	6074	1132
354	6089	1115
355	6105	1097
356	6121	1080
357	6137	1062
358	6154	1045
359	6172	1028
360	6190	1011
361	6205	994
362	6221	976
363	6237	959
364	6255	942
365	6271	925
366	6289	908
367	6306	891
368	6323	873
369	6339	856
370	6354	839
371	6370	821
372	6387	804
373	6404	787
374	6420	770
375	6437	753
376	6453	736
377	6470	718
378	6490	702
379	6507	684
380	6521	667
381	6538	650
382	6553	633
383	6568	615
384	6582	598
385	6599	581
386	6614	564
387	6630	546
388	6647	529
389	6663	512
390	6680	495
391	6695	478
392	6712	461
393	6727	443
394	6743	426
395	6759	409
396	6778	392
397	6795	375
398	6811	358
399	6828	341
400	6842	324
401	6858	307
402	6876	290
403	6891	272
404	6908	255
405	6924	238
406	6939	221
407	6954	204
408	6970	187
409	6985	170
410	7001	153
411	7016	136
412	7033	119
413	7049	102
414	7066	85
415	7081	68
416	7099	51
417	7114	34
418	7130	17
419	7149	0
