iter	RMSE
0	1.198112266
1	1.189336013
2	1.180523124
3	1.171816537
4	1.163210619
5	1.154724948
6	1.146344618
7	1.138047474
8	1.129886577
9	1.121778789
10	1.113813703
11	1.105926487
12	1.098143743
13	1.090453617
14	1.082868634
15	1.075337851
16	1.067919827
17	1.060571756
18	1.053297241
19	1.046122636
20	1.039057292
21	1.032079674
22	1.025192571
23	1.018332877
24	1.011552088
25	1.004866536
26	0.9982803416
27	0.9917586913
28	0.9853608664
29	0.9790715626
30	0.9728098185
31	0.9666299188
32	0.9605325723
33	0.9545331214
34	0.9485875523
35	0.9426588136
36	0.9368667635
37	0.9310995292
38	0.925464514
39	0.9199293396
40	0.9144199949
41	0.9089854069
42	0.9036141896
43	0.8982724302
44	0.893066193
45	0.8878592837
46	0.8828089882
47	0.8777730899
48	0.8727817998
49	0.8678300414
50	0.8629562139
51	0.858152177
52	0.8534146946
53	0.8487427146
54	0.8441392195
55	0.8395627727
56	0.8350704183
57	0.8306495984
58	0.8262312952
59	0.8219117797
60	0.8176742669
61	0.8134445274
62	0.8093201441
63	0.8052125374
64	0.8011645742
65	0.79720136
66	0.7932250522
67	0.7893279225
68	0.7854937336
69	0.781686277
70	0.7780420256
71	0.7744110967
72	0.7707526338
73	0.7671335681
74	0.7635894923
75	0.7600833208
76	0.7566561852
77	0.753268464
78	0.749916165
79	0.7465950755
80	0.7433429232
81	0.7400903566
82	0.7369291275
83	0.7337961895
84	0.7307510375
85	0.7276809174
86	0.7246585365
87	0.7217481932
88	0.7188038669
89	0.7159404472
90	0.7131249077
91	0.7103038515
92	0.7075460753
93	0.7048140191
94	0.7021123654
95	0.6994526774
96	0.6968370132
97	0.6942272584
98	0.6916643095
99	0.6891326039
100	0.6866210137
101	0.6841865439
102	0.6818007286
103	0.6794450876
104	0.6771221637
105	0.6748058515
106	0.672514424
107	0.6702890933
108	0.6680558935
109	0.6658983447
110	0.6637355776
111	0.6616045016
112	0.6595200724
113	0.6574798697
114	0.6554608285
115	0.6534476823
116	0.6514611329
117	0.6495370574
118	0.6476306206
119	0.6457209502
120	0.6438570672
121	0.6420452274
122	0.6402397166
123	0.6384942892
124	0.6367410685
125	0.6349903024
126	0.633257374
127	0.6316067892
128	0.629969554
129	0.6283553598
130	0.6267523816
131	0.6251789346
132	0.6236206028
133	0.6220892519
134	0.6205730465
135	0.6190918492
136	0.6175771796
137	0.6161258932
138	0.6146905384
139	0.6132723244
140	0.6119049619
141	0.610559773
142	0.6091963705
143	0.6078698344
144	0.606576262
145	0.6052850485
146	0.6040271272
147	0.6027645995
148	0.6014977796
149	0.6002769051
150	0.599057073
151	0.5978508984
152	0.5966762182
153	0.5955069298
154	0.5943802472
155	0.5933083693
156	0.5922143649
157	0.5911319089
158	0.5900720689
159	0.5890228559
160	0.5879668496
161	0.5869469373
162	0.5859206865
163	0.5849002164
164	0.5838869656
165	0.5829212448
166	0.5819691012
167	0.5810523448
168	0.5801235394
169	0.5791728873
170	0.5782829832
171	0.5773800967
172	0.5764968181
173	0.5756614882
174	0.5748352914
175	0.5739701399
176	0.5731587542
177	0.5723643342
178	0.5715567464
179	0.5707727738
180	0.569974383
181	0.5692213385
182	0.5684892638
183	0.5677488518
184	0.5670331553
185	0.5663266521
186	0.5656003938
187	0.5648943733
188	0.5641983884
189	0.563511239
190	0.5628422787
191	0.5621981722
192	0.5614594226
193	0.5608156945
194	0.5601818421
195	0.5595337917
196	0.5589063149
197	0.5582895947
198	0.5576737871
199	0.5570889211
200	0.5564996201
201	0.5559325538
202	0.5553662343
203	0.5548076377
204	0.5542709681
205	0.5537248043
206	0.5532018419
207	0.5526889083
208	0.5521390913
209	0.5515942969
210	0.5510733432
211	0.5505867085
212	0.5501051366
213	0.5495747093
214	0.5490413868
215	0.5485037867
216	0.5480396635
217	0.5475384238
218	0.5470864008
219	0.5466214441
220	0.5461777772
221	0.5457388144
222	0.5452935583
223	0.5448728361
224	0.5444441069
225	0.5439817665
226	0.5435665106
227	0.5431489302
228	0.5427591305
229	0.5423537817
230	0.5419663629
231	0.5415936533
232	0.5411814725
233	0.5407856867
234	0.5404411933
235	0.5400773161
236	0.539717176
237	0.539356922
238	0.5390113953
239	0.5386490804
240	0.5383036727
241	0.5379692432
242	0.5376364859
243	0.5372572301
244	0.5369147997
245	0.5365638036
246	0.5362320291
247	0.5359265214
248	0.5356147193
249	0.5353087467
250	0.5349915363
251	0.534696805
252	0.5343881366
253	0.5340974775
254	0.5338165368
255	0.5335363046
256	0.5332564677
257	0.5329877757
258	0.5326981165
259	0.5324233519
260	0.5321665518
261	0.5318947948
262	0.5316375869
263	0.5313554761
264	0.5310644243
265	0.5307878852
266	0.5305218692
267	0.5302680272
268	0.5300264749
269	0.5297512033
270	0.529522725
271	0.5292936554
272	0.5290773515
273	0.528859205
274	0.5286417516
275	0.5284071624
276	0.5281542327
277	0.5279047093
278	0.5276675442
279	0.5274503296
280	0.5272032053
281	0.5269781905
282	0.5267680227
283	0.5265435297
284	0.5263477069
285	0.5261193196
286	0.5259082351
287	0.5257180774
288	0.5255141148
