iter	Passed	Remaining
0	164	329811
1	190	190412
2	215	143224
3	241	120587
4	267	106610
5	292	97288
6	319	91105
7	350	87325
8	377	83599
9	411	81974
10	438	79285
11	465	77071
12	491	75064
13	518	73581
14	544	72094
15	570	70708
16	595	69448
17	621	68475
18	645	67271
19	669	66315
20	692	65303
21	718	64593
22	743	63905
23	769	63336
24	792	62585
25	816	61960
26	841	61501
27	866	60993
28	889	60445
29	913	59970
30	935	59436
31	959	58984
32	983	58593
33	1006	58176
34	1030	57842
35	1054	57526
36	1078	57226
37	1101	56897
38	1125	56584
39	1148	56298
40	1171	55996
41	1195	55716
42	1219	55483
43	1241	55209
44	1266	55016
45	1288	54745
46	1311	54511
47	1334	54282
48	1358	54083
49	1381	53891
50	1405	53716
51	1428	53498
52	1450	53276
53	1472	53073
54	1496	52911
55	1519	52748
56	1542	52587
57	1566	52462
58	1589	52291
59	1613	52184
60	1636	52029
61	1659	51876
62	1682	51722
63	1704	51565
64	1728	51462
65	1751	51326
66	1775	51210
67	1798	51088
68	1821	50972
69	1844	50842
70	1867	50732
71	1890	50629
72	1913	50503
73	1935	50386
74	1960	50309
75	1982	50182
76	2004	50060
77	2028	49993
78	2054	49963
79	2078	49879
80	2104	49855
81	2130	49832
82	2155	49788
83	2183	49813
84	2209	49777
85	2237	49802
86	2268	49878
87	2306	50122
88	2336	50171
89	2362	50137
90	2387	50084
91	2413	50053
92	2439	50029
93	2467	50042
94	2494	50019
95	2518	49950
96	2543	49891
97	2566	49819
98	2593	49809
99	2621	49812
100	2645	49749
101	2668	49658
102	2691	49569
103	2714	49479
104	2739	49442
105	2762	49360
106	2785	49276
107	2809	49219
108	2835	49197
109	2860	49152
110	2885	49097
111	2909	49047
112	2935	49019
113	2961	48989
114	2986	48957
115	3013	48944
116	3038	48900
117	3062	48851
118	3085	48773
119	3106	48675
120	3129	48600
121	3151	48509
122	3173	48433
123	3195	48346
124	3220	48301
125	3245	48263
126	3271	48254
127	3296	48204
128	3320	48165
129	3342	48084
130	3365	48022
131	3390	47976
132	3412	47904
133	3436	47854
134	3460	47810
135	3484	47755
136	3508	47709
137	3532	47664
138	3554	47588
139	3576	47517
140	3598	47445
141	3622	47393
142	3647	47366
143	3669	47300
144	3691	47229
145	3713	47150
146	3734	47080
147	3756	47010
148	3779	46949
149	3800	46869
150	3824	46825
151	3845	46759
152	3868	46703
153	3893	46666
154	3914	46592
155	3937	46543
156	3959	46483
157	3983	46441
158	4006	46384
159	4030	46345
160	4052	46294
161	4078	46272
162	4100	46212
163	4124	46178
164	4148	46131
165	4170	46071
166	4192	46013
167	4214	45957
168	4237	45914
169	4262	45880
170	4284	45830
171	4308	45793
172	4331	45746
173	4355	45712
174	4379	45668
175	4402	45630
176	4424	45574
177	4446	45510
178	4468	45456
179	4490	45406
180	4512	45347
181	4533	45288
182	4556	45239
183	4578	45184
184	4601	45140
185	4621	45074
186	4643	45019
187	4666	44980
188	4689	44935
189	4713	44906
190	4737	44870
191	4760	44827
192	4783	44788
193	4807	44758
194	4830	44709
195	4853	44673
196	4876	44632
197	4898	44582
198	4920	44534
199	4944	44497
200	4966	44454
201	4988	44402
202	5008	44340
203	5031	44295
204	5053	44251
205	5077	44216
206	5099	44173
207	5123	44141
208	5147	44113
209	5172	44093
210	5197	44067
211	5220	44028
212	5242	43985
213	5264	43938
214	5287	43902
215	5311	43867
216	5332	43816
217	5356	43788
218	5378	43742
219	5401	43703
220	5424	43668
221	5447	43629
222	5473	43616
223	5496	43577
224	5517	43526
225	5541	43501
226	5563	43452
227	5586	43415
228	5607	43364
229	5630	43328
230	5651	43277
231	5673	43233
232	5696	43200
233	5718	43153
234	5740	43113
235	5763	43077
236	5785	43037
237	5808	43003
238	5833	42985
239	5858	42959
240	5886	42961
241	5912	42951
242	5955	43061
243	5982	43057
244	6006	43028
245	6028	42986
246	6051	42949
247	6074	42915
248	6098	42887
249	6121	42849
250	6143	42809
251	6166	42773
252	6188	42729
253	6211	42697
254	6235	42667
255	6260	42651
256	6284	42623
257	6307	42590
258	6331	42561
259	6354	42526
260	6376	42488
261	6399	42449
262	6421	42410
263	6444	42376
264	6468	42348
265	6490	42307
266	6513	42279
267	6535	42235
268	6558	42201
269	6579	42157
270	6600	42112
271	6621	42068
272	6642	42019
273	6664	41979
274	6685	41936
275	6707	41897
276	6730	41863
277	6751	41821
278	6774	41788
279	6795	41745
280	6817	41704
281	6839	41667
282	6861	41628
283	6882	41586
284	6905	41553
285	6927	41516
286	6949	41478
287	6970	41437
288	6992	41395
289	7014	41359
290	7035	41317
291	7056	41277
292	7079	41242
293	7099	41193
294	7120	41151
295	7142	41116
296	7164	41083
297	7187	41050
298	7209	41016
299	7230	40974
300	7250	40926
301	7271	40885
302	7292	40840
303	7314	40808
304	7337	40777
305	7359	40744
306	7381	40706
307	7402	40667
308	7425	40634
309	7448	40605
310	7469	40567
311	7491	40529
312	7513	40496
313	7535	40460
314	7557	40426
315	7575	40371
316	7596	40330
317	7618	40296
318	7640	40261
319	7677	40308
320	7697	40261
321	7719	40229
322	7741	40195
323	7763	40160
324	7784	40122
325	7806	40084
326	7830	40064
327	7855	40044
328	7879	40021
329	7902	39989
330	7928	39978
331	7956	39973
332	7981	39954
333	8005	39930
334	8029	39905
335	8051	39873
336	8072	39833
337	8094	39799
338	8117	39775
339	8138	39737
340	8163	39714
341	8185	39681
342	8207	39649
343	8228	39609
344	8257	39613
345	8280	39584
346	8302	39551
347	8324	39515
348	8344	39475
349	8364	39432
350	8385	39396
351	8408	39369
352	8432	39344
353	8453	39308
354	8476	39278
355	8500	39254
356	8522	39222
357	8543	39187
358	8564	39150
359	8586	39116
360	8608	39084
361	8630	39050
362	8650	39011
363	8672	38979
364	8695	38949
365	8715	38911
366	8737	38877
367	8761	38856
368	8780	38812
369	8801	38773
370	8823	38740
371	8846	38716
372	8869	38687
373	8892	38660
374	8914	38629
375	8936	38597
376	8957	38564
377	8979	38529
378	9002	38502
379	9024	38471
380	9044	38431
381	9068	38408
382	9090	38379
383	9111	38345
384	9135	38320
385	9157	38289
386	9181	38266
387	9202	38232
388	9226	38211
389	9250	38188
390	9274	38164
391	9295	38131
392	9318	38103
393	9344	38089
394	9365	38052
395	9387	38025
396	9409	37994
397	9430	37958
398	9451	37922
399	9473	37892
400	9493	37855
401	9515	37824
402	9536	37790
403	9559	37764
404	9579	37726
405	9601	37698
406	9625	37674
407	9647	37644
408	9667	37608
409	9688	37573
410	9708	37534
411	9730	37504
412	9752	37473
413	9772	37438
414	9795	37410
415	9816	37376
416	9841	37358
